ticker,name,exchange,commodity,current_price,day_change_percent,market_cap,currency,last_updated
SXGC,Southern Cross Gold Consolidated Ltd.,TSX,Gold,9.970000267028809,1.63,2577286434.558055,CAD,2026-01-15T06:44:48.033616
LAC,Lithium Americas Corp.,TSX,Lithium,8.420000076293945,3.95,2555371408.114319,CAD,2026-01-15T06:44:48.683607
SGML,Sigma Lithium Corporation,TSXV,Lithium,22.81999969482422,4.68,2541782389.608307,CAD,2026-01-15T06:44:49.251837
III,Imperial Metals Corporation,TSX,Gold,11.989999771118164,4.72,2134988410.334364,CAD,2026-01-15T06:44:49.890559
ALS,Altius Minerals Corporation,TSX,Gold,45.66999816894531,1.65,2113862216.8385773,CAD,2026-01-15T06:44:50.487326
SLS,Solaris Resources Inc.,TSX,Copper,12.329999923706055,7.12,2057839220.4767742,CAD,2026-01-15T06:44:51.052529
LIF,Labrador Iron Ore Royalty Corporation,TSX,Gold,31.850000381469727,1.47,2038400024.4140625,CAD,2026-01-15T06:44:51.691912
CNL,Collective Mining Ltd.,TSX,Gold,22.059999465942383,0.68,2035360313.665308,CAD,2026-01-15T06:44:52.371162
MSA,Mineros S.A.,TSX,Gold,6.650000095367432,0.15,1966940466.2578282,CAD,2026-01-15T06:44:52.984545
ALK,Alkane Resources Limited,TSX,Gold,1.4199999570846558,2.16,1962292438.1954522,CAD,2026-01-15T06:44:53.523217
AFM,Alphamin Resources Corp.,TSXV,Diversified,1.5099999904632568,9.42,1931154812.6033592,CAD,2026-01-15T06:44:54.277901
ABRA,AbraSilver Resource Corp.,TSX,Gold,11.890000343322754,3.21,1900967464.4602747,CAD,2026-01-15T06:44:54.836588
LAR,Lithium Argentina AG,TSX,Lithium,11.609999656677246,2.29,1885022764.257431,CAD,2026-01-15T06:44:55.418290
MUX,McEwen Inc.,TSX,Gold,31.09000015258789,2.74,1841101495.1760178,CAD,2026-01-15T06:44:56.016722
GTWO,G2 Goldfields Inc.,TSX,Gold,6.949999809265137,0.43,1794726424.4957685,CAD,2026-01-15T06:44:56.658182
IAU,i-80 Gold Corp.,TSX,Gold,2.1500000953674316,0.94,1776506318.6003895,CAD,2026-01-15T06:44:57.236179
ELE,Elemental Royalty Corporation,TSXV,Gold,27.5,-0.69,1753677557.5,CAD,2026-01-15T06:44:57.816856
